Milliseconds,Seconds,Latitude,Lat Degree,Lat Minute,Lat Second,Longitude,Long Degree,Long Minute,Long Second,Altitude,Speed,AcclX,AcclY,AcclZ,GyroX,GyroY,GyroZ,Course,Heading
29024,29,49.2434232,49,14,36.32352,-121.8875224,-121,-53,-15.08064,671.119,0.429,7.769784173,0.426858513,7.107913669,0.033013845,0.069222577,0.001064963,41.2,42.2
30030,30,49.2434221,49,14,36.31956,-121.8875204,-121,-53,-15.07344,671.237,0.121,9.635491607,1.057553957,1.105515588,-0.271565495,0.110756124,-0.026624068,41.6,38.6
31020,31,49.243424,49,14,36.3264,-121.887518,-121,-53,-15.0648,672.039,0.089,9.621103118,0.026378897,2.251798561,0.036208733,0.007454739,0.060702875,43.7,43.7
32024,32,49.2434225,49,14,36.321,-121.8875161,-121,-53,-15.05796,672.803,0.093,9.64028777,-0.196642686,1.76498801,0.019169329,-0.020234292,-0.001064963,46,49
33039,33,49.2434246,49,14,36.32856,-121.887517,-121,-53,-15.0612,672.569,0.098,9.606714628,-0.177458034,2.117505995,-0.038338658,-0.007454739,0.056443024,42.8,43.8
34045,34,49.2434258,49,14,36.33288,-121.8875162,-121,-53,-15.05832,672.754,0.03,9.630695444,-0.083932854,2.208633094,-0.034078807,0.010649627,0.008519702,43,41
35035,35,49.2434272,49,14,36.33792,-121.8875148,-121,-53,-15.05328,672.791,0.143,9.496402878,-0.42206235,2.407673861,-0.001064963,-0.129925453,-0.048988285,40.3,43.3
36025,36,49.2434261,49,14,36.33396,-121.887513,-121,-53,-15.0468,673.405,0.042,9.721822542,0.273381295,1.069544365,-5.059637913,-0.220447284,-0.509052183,41.2,41.2
37014,37,49.2434272,49,14,36.33792,-121.8875111,-121,-53,-15.03996,673.404,0.209,9.776978417,-0.268585132,1.949640288,3.149094782,0.298189563,0.75399361,41.6,39.6
38020,38,49.2434279,49,14,36.34044,-121.8875103,-121,-53,-15.03708,673.675,0.256,9.369304556,-0.244604317,3.709832134,-0.182108626,-0.019169329,-0.069222577,41.6,42.6
39034,39,49.2434284,49,14,36.34224,-121.887509,-121,-53,-15.0324,674.088,0.316,9.290167866,-0.088729017,2.940047962,0.125665602,-0.036208733,0.073482428,41.2,43.2
40040,40,49.2434254,49,14,36.33144,-121.8875102,-121,-53,-15.03672,673.914,0.46,9.419664269,-0.474820144,2.772182254,0.12886049,-0.300319489,-0.249201278,40.7,40.7
41030,41,49.2434188,49,14,36.30768,-121.8875162,-121,-53,-15.05832,673.111,0.409,8.314148681,0,3.604316547,0.005324814,-0.190628328,-0.129925453,39.6,42.6
42020,42,49.2434185,49,14,36.3066,-121.887526,-121,-53,-15.0936,673.495,0.699,8.947242206,0.366906475,0.635491607,0.012779553,0.083067093,-0.061767838,43.9,40.9
43024,43,49.2434135,49,14,36.2886,-121.8875296,-121,-53,-15.10656,673.276,0.376,9.565947242,0.949640288,1.976019185,-0.441959531,0.057507987,0.033013845,41.4,41.4
44039,44,49.2434112,49,14,36.28032,-121.8875258,-121,-53,-15.09288,673.374,0.388,9.290167866,1.604316547,1.872901679,-0.127795527,0.045793397,-0.001064963,41.5,41.5
45045,45,49.2434138,49,14,36.28968,-121.8875284,-121,-53,-15.10224,673.022,0.293,9.705035971,0.944844125,3.047961631,-0.002129925,0.015974441,0.056443024,42.2,40.2
46035,46,49.2434126,49,14,36.28536,-121.8875298,-121,-53,-15.10728,672.928,0.084,9.491606715,-0.21822542,2.350119904,0.008519702,0.001064963,-0.01171459,45,43
47025,47,49.2434116,49,14,36.28176,-121.8875282,-121,-53,-15.10152,673.106,0.159,9.482014388,-0.107913669,2.788968825,0.017039404,-0.009584665,0.027689031,41.1,44.1
48014,48,49.2434105,49,14,36.2778,-121.8875295,-121,-53,-15.1062,673.114,0.184,9.633093525,-0.270983213,2.345323741,0.067092652,0.006389776,0.086261981,39.8,42.8
49005,49,49.2434094,49,14,36.27384,-121.8875274,-121,-53,-15.09864,673.768,0.056,9.431654676,-0.194244604,2.589928058,0.069222577,-0.027689031,0.038338658,45.8,45.8
50050,50,49.2434065,49,14,36.2634,-121.887533,-121,-53,-15.1188,672.98,0.366,9.42206235,0,2.446043165,-0.01171459,-0.002129925,0.009584665,40.1,39.1
51040,51,49.2434101,49,14,36.27636,-121.8875359,-121,-53,-15.12924,672.655,0.453,9.398081535,-0.1558753,2.587529976,-0.008519702,-0.021299255,0.020234292,44,47
52030,52,49.2434092,49,14,36.27312,-121.8875407,-121,-53,-15.14652,672.579,0.511,9.462829736,-0.268585132,2.393285372,-0.007454739,-0.001064963,0.029818956,42.7,41.7
53034,53,49.2434069,49,14,36.26484,-121.8875445,-121,-53,-15.1602,672.115,0.195,9.508393285,-0.004796163,2.553956835,0.003194888,0.004259851,0.024494143,41.1,39.1
54049,54,49.2434107,49,14,36.27852,-121.8875456,-121,-53,-15.16416,672.054,0.037,9.505995204,-0.323741007,2.592326139,0.003194888,-0.012779553,-0.006389776,43.6,43.6
55000,55,49.243415,49,14,36.294,-121.8875477,-121,-53,-15.17172,671.772,0.254,9.458033573,-0.199040767,2.618705036,-0.003194888,0.007454739,-0.003194888,42.9,40.9
56045,56,49.2434167,49,14,36.30012,-121.8875485,-121,-53,-15.1746,671.742,0.182,9.494004796,-0.287769784,2.786570743,0.029818956,0.009584665,0.001064963,43.5,46.5
57035,57,49.2434157,49,14,36.29652,-121.8875458,-121,-53,-15.16488,672.282,0.363,9.465227818,-0.083932854,2.755395683,0,-0.001064963,0.014909478,43,40
58024,58,49.243419,49,14,36.3084,-121.8875433,-121,-53,-15.15588,672.737,0.162,9.417266187,-0.103117506,2.618705036,0.440894569,-0.048988285,-0.118210863,42,39
59015,59,49.2434198,49,14,36.31128,-121.8875435,-121,-53,-15.1566,672.679,0.043,9.306954436,0.652278177,2.374100719,0.017039404,-0.025559105,0.003194888,44.3,47.3
60005,60,49.2434206,49,14,36.31416,-121.8875426,-121,-53,-15.15336,672.963,0.014,9.419664269,0.043165468,2.561151079,-0.034078807,-0.013844515,0.019169329,39.5,38.5
61050,61,49.2434208,49,14,36.31488,-121.8875416,-121,-53,-15.14976,673.165,0.035,9.486810552,-0.268585132,2.683453237,-0.009584665,-0.012779553,0.001064963,44,43
62040,62,49.2434239,49,14,36.32604,-121.8875426,-121,-53,-15.15336,672.84,0.234,9.436450839,-0.292565947,2.947242206,0.250266241,-0.015974441,-0.025559105,42,45
63044,63,49.2434276,49,14,36.33936,-121.8875434,-121,-53,-15.15624,672.817,0.293,9.944844125,1.923261391,1.635491607,0.033013845,0.603833866,-0.244941427,43.5,40.5
64001,64,49.2434237,49,14,36.32532,-121.8875471,-121,-53,-15.16956,672.529,0.382,9.189448441,2.517985612,4.369304556,0.129925453,0.047923323,0.015974441,39.3,42.3
65010,65,49.2434219,49,14,36.31884,-121.887545,-121,-53,-15.162,672.493,0.151,9.306954436,-0.8441247,3.052757794,0.027689031,0.017039404,-0.026624068,39.1,42.1
